date,iron_ore_price,coking_coal_price
2024-01-01,119.58,242.75
2024-01-02,119.22,240.53
2024-01-03,119.19,235.37
2024-01-04,121.29,236.54
2024-01-05,118.04,240.65
2024-01-06,114.37,241.58
2024-01-07,120.87,240.95
2024-01-08,116.5,239.53
2024-01-09,118.26,241.47
2024-01-10,120.32,243.88
2024-01-11,121.67,237.08
2024-01-12,117.73,240.82
2024-01-13,121.48,243.4
2024-01-14,122.61,250.01
2024-01-15,116.79,240.29
2024-01-16,122.16,244.66
2024-01-17,116.7,246.28
2024-01-18,124.43,250.24
2024-01-19,117.47,248.2
2024-01-20,118.85,243.4
2024-01-21,114.09,241.55
2024-01-22,118.34,241.4
2024-01-23,119.77,244.57
2024-01-24,118.98,243.9
2024-01-25,119.43,250.4
2024-01-26,118.73,250.34
2024-01-27,122.38,249.87
2024-01-28,118.0,249.78
2024-01-29,121.28,252.37
2024-01-30,116.6,245.46
2024-01-31,117.65,250.9
2024-02-01,120.53,245.56
2024-02-02,113.68,249.67
2024-02-03,114.66,249.54
2024-02-04,120.61,250.89
2024-02-05,117.36,250.15
2024-02-06,116.57,248.31
2024-02-07,124.96,246.08
2024-02-08,117.78,251.73
2024-02-09,121.24,258.25
2024-02-10,121.9,252.52
2024-02-11,114.47,255.43
2024-02-12,119.82,255.52
2024-02-13,120.56,249.94
2024-02-14,120.23,256.41
2024-02-15,122.59,241.5
2024-02-16,119.32,247.81
2024-02-17,119.16,245.28
2024-02-18,116.03,245.81
2024-02-19,115.68,252.54
2024-02-20,116.87,254.0
2024-02-21,116.89,255.22
2024-02-22,122.1,255.88
2024-02-23,115.59,248.42
2024-02-24,120.07,248.39
2024-02-25,117.8,253.41
2024-02-26,120.07,252.45
2024-02-27,123.76,249.6
2024-02-28,118.65,258.23
2024-02-29,120.16,258.9
2024-03-01,119.01,259.89
2024-03-02,117.56,253.05
2024-03-03,124.39,257.18
2024-03-04,116.51,260.87
2024-03-05,121.48,251.43
2024-03-06,121.94,261.47
2024-03-07,119.26,258.03
2024-03-08,124.79,262.12
2024-03-09,116.58,258.51
2024-03-10,119.19,262.66
2024-03-11,117.92,258.9
2024-03-12,119.32,248.91
2024-03-13,117.78,263.6
2024-03-14,121.96,255.37
2024-03-15,120.43,264.06
2024-03-16,118.74,257.21
2024-03-17,120.51,262.23
2024-03-18,118.5,261.35
2024-03-19,116.68,258.65
2024-03-20,125.29,259.19
2024-03-21,118.36,259.45
2024-03-22,116.06,252.14
2024-03-23,119.54,261.48
2024-03-24,117.51,254.97
2024-03-25,123.22,261.94
2024-03-26,122.92,258.07
2024-03-27,125.69,262.01
2024-03-28,122.69,271.26
2024-03-29,122.63,268.83
2024-03-30,120.07,261.01
2024-03-31,120.77,261.96
2024-04-01,121.54,258.42
2024-04-02,121.92,264.06
2024-04-03,121.19,257.48
2024-04-04,118.95,260.81
2024-04-05,118.96,254.61
2024-04-06,115.15,250.19
2024-04-07,116.17,253.35
2024-04-08,115.66,247.37
2024-04-09,111.9,251.58
2024-04-10,109.75,245.5
2024-04-11,108.6,248.92
2024-04-12,112.83,253.85
2024-04-13,107.93,245.54
2024-04-14,111.59,245.75
2024-04-15,109.79,247.33
2024-04-16,112.86,244.28
2024-04-17,109.27,248.5
2024-04-18,108.96,246.82
2024-04-19,111.7,248.72
2024-04-20,109.19,237.24
2024-04-21,104.32,235.38
2024-04-22,105.85,237.38
2024-04-23,106.72,235.69
2024-04-24,107.09,242.12
2024-04-25,104.81,233.83
2024-04-26,107.22,246.28
2024-04-27,100.52,242.56
2024-04-28,103.79,237.46
2024-04-29,105.9,241.14
2024-04-30,104.87,229.51
2024-05-01,107.79,247.58
2024-05-02,106.94,234.31
2024-05-03,103.81,236.34
2024-05-04,109.25,232.38
2024-05-05,103.37,239.47
2024-05-06,105.4,230.59
2024-05-07,109.09,238.05
2024-05-08,107.37,234.77
2024-05-09,104.39,231.75
2024-05-10,102.57,231.47
2024-05-11,99.61,235.02
2024-05-12,104.74,230.61
2024-05-13,102.29,233.73
2024-05-14,104.04,240.87
2024-05-15,101.33,245.74
2024-05-16,102.12,235.88
2024-05-17,100.47,226.21
2024-05-18,100.25,226.97
2024-05-19,99.38,230.08
2024-05-20,104.14,230.11
2024-05-21,101.4,235.12
2024-05-22,100.18,232.34
2024-05-23,101.73,233.94
2024-05-24,105.85,229.4
2024-05-25,102.93,236.86
2024-05-26,99.22,227.45
2024-05-27,97.67,225.63
2024-05-28,101.58,239.67
2024-05-29,102.32,223.13
2024-05-30,101.66,228.42
2024-05-31,101.38,232.63
2024-06-01,102.91,244.63
2024-06-02,107.79,241.4
2024-06-03,107.61,239.76
2024-06-04,102.23,231.9
2024-06-05,105.72,242.87
2024-06-06,101.61,234.43
2024-06-07,106.59,235.6
2024-06-08,104.19,232.46
2024-06-09,106.72,232.91
2024-06-10,101.56,232.98
2024-06-11,107.84,234.53
2024-06-12,106.09,237.24
2024-06-13,108.76,237.29
2024-06-14,109.7,236.71
2024-06-15,107.35,241.92
2024-06-16,105.8,223.72
2024-06-17,108.18,236.39
2024-06-18,105.68,236.03
2024-06-19,104.1,237.87
2024-06-20,103.65,232.31
2024-06-21,101.09,231.15
2024-06-22,103.93,235.16
2024-06-23,108.18,238.04
2024-06-24,105.65,229.89
2024-06-25,101.86,228.55
2024-06-26,104.62,233.72
2024-06-27,100.9,218.1
2024-06-28,102.99,223.69
2024-06-29,102.24,231.86
2024-06-30,102.49,227.29
2024-07-01,97.11,224.48
2024-07-02,98.41,219.93
2024-07-03,97.03,218.52
2024-07-04,99.12,218.03
2024-07-05,104.32,229.36
2024-07-06,98.72,217.63
2024-07-07,100.05,222.39
2024-07-08,102.81,218.3
2024-07-09,104.05,225.71
2024-07-10,101.94,220.6
2024-07-11,104.68,223.74
2024-07-12,100.01,215.95
2024-07-13,104.57,214.7
2024-07-14,107.64,223.07
2024-07-15,103.96,217.35
2024-07-16,98.93,231.9
2024-07-17,103.48,216.82
2024-07-18,105.08,220.13
2024-07-19,103.02,223.51
2024-07-20,106.09,220.72
2024-07-21,104.64,217.62
2024-07-22,101.41,217.39
2024-07-23,101.65,214.89
2024-07-24,98.97,216.47
2024-07-25,101.97,227.4
2024-07-26,102.39,221.55
2024-07-27,106.25,225.82
2024-07-28,109.03,223.95
2024-07-29,100.65,225.27
2024-07-30,100.96,211.52
2024-07-31,104.46,220.97
2024-08-01,101.56,227.04
2024-08-02,106.4,221.43
2024-08-03,107.84,230.33
2024-08-04,110.97,231.28
2024-08-05,106.7,221.04
2024-08-06,107.43,223.13
2024-08-07,102.86,219.86
2024-08-08,106.44,219.91
2024-08-09,104.46,214.09
2024-08-10,104.91,219.3
2024-08-11,101.54,210.89
2024-08-12,101.64,218.13
2024-08-13,99.27,217.88
2024-08-14,98.84,210.58
2024-08-15,101.42,223.19
2024-08-16,100.6,219.13
2024-08-17,103.86,218.41
2024-08-18,101.58,211.55
2024-08-19,103.63,220.07
2024-08-20,102.12,221.05
2024-08-21,98.95,218.68
2024-08-22,109.34,226.81
2024-08-23,103.97,219.0
2024-08-24,106.09,224.47
2024-08-25,105.11,222.89
2024-08-26,110.04,223.23
2024-08-27,107.89,213.51
2024-08-28,105.61,221.27
2024-08-29,107.72,218.4
2024-08-30,113.17,219.14
2024-08-31,108.91,228.71
2024-09-01,109.26,221.6
2024-09-02,109.36,220.96
2024-09-03,108.08,224.61
2024-09-04,111.96,220.77
2024-09-05,111.01,228.45
2024-09-06,110.41,216.2
2024-09-07,103.13,221.08
2024-09-08,105.5,224.07
2024-09-09,106.24,215.79
2024-09-10,107.88,220.32
2024-09-11,107.87,214.36
2024-09-12,108.96,229.72
2024-09-13,110.24,223.71
2024-09-14,106.73,218.09
2024-09-15,111.93,217.4
2024-09-16,110.75,219.78
2024-09-17,109.86,219.91
2024-09-18,113.98,228.77
2024-09-19,113.48,215.31
2024-09-20,112.48,221.18
2024-09-21,103.46,219.97
2024-09-22,114.22,220.44
2024-09-23,112.51,220.38
2024-09-24,113.75,218.04
2024-09-25,111.65,221.27
2024-09-26,113.22,221.37
2024-09-27,111.43,220.13
2024-09-28,112.61,206.44
2024-09-29,115.54,221.99
2024-09-30,111.0,213.12
2024-10-01,106.05,220.67
2024-10-02,108.99,224.14
2024-10-03,110.29,214.1
2024-10-04,108.89,215.59
2024-10-05,106.36,214.75
2024-10-06,106.42,223.42
2024-10-07,109.36,220.27
2024-10-08,113.09,227.26
2024-10-09,116.99,225.32
2024-10-10,115.24,224.14
2024-10-11,115.77,223.76
2024-10-12,112.98,226.27
2024-10-13,108.77,215.15
2024-10-14,112.16,223.25
2024-10-15,112.34,222.2
2024-10-16,112.1,225.82
2024-10-17,115.96,226.21
2024-10-18,115.66,221.04
2024-10-19,116.35,224.88
2024-10-20,114.03,220.78
2024-10-21,111.31,218.71
2024-10-22,115.2,230.48
2024-10-23,117.65,231.89
2024-10-24,117.98,227.97
2024-10-25,111.73,227.77
2024-10-26,113.62,219.19
2024-10-27,114.66,218.48
2024-10-28,112.51,221.5
2024-10-29,111.78,216.3
2024-10-30,109.02,215.5
2024-10-31,110.07,219.9
2024-11-01,111.22,217.66
2024-11-02,108.94,211.44
2024-11-03,110.46,215.54
2024-11-04,108.37,213.73
2024-11-05,110.34,219.11
2024-11-06,110.69,217.26
2024-11-07,108.95,220.67
2024-11-08,107.16,222.23
2024-11-09,107.04,218.02
2024-11-10,108.7,210.23
2024-11-11,108.44,221.8
