date,weather_risk_score,event_risk_score
2024-01-01,4.3,1.5
2024-01-02,5.4,1.8
2024-01-03,4.2,1.4
2024-01-04,5.3,1.8
2024-01-05,4.0,1.9
2024-01-06,2.9,1.3
2024-01-07,3.8,1.3
2024-01-08,4.2,1.7
2024-01-09,4.0,1.5
2024-01-10,4.5,1.3
2024-01-11,5.0,1.4
2024-01-12,4.7,1.5
2024-01-13,4.5,1.0
2024-01-14,4.3,1.7
2024-01-15,3.4,1.4
2024-01-16,2.9,0.7
2024-01-17,4.7,1.5
2024-01-18,5.1,1.3
2024-01-19,4.1,2.0
2024-01-20,4.0,1.3
2024-01-21,4.4,1.2
2024-01-22,4.1,1.7
2024-01-23,5.0,1.3
2024-01-24,6.1,1.3
2024-01-25,4.7,1.7
2024-01-26,4.6,1.2
2024-01-27,3.4,1.1
2024-01-28,4.5,2.0
2024-01-29,4.8,1.7
2024-01-30,4.4,1.4
2024-01-31,4.4,1.5
2024-02-01,4.9,1.7
2024-02-02,5.9,1.8
2024-02-03,4.7,1.3
2024-02-04,5.1,1.6
2024-02-05,3.9,1.3
2024-02-06,5.1,1.4
2024-02-07,4.6,1.5
2024-02-08,4.7,1.5
2024-02-09,5.3,1.7
2024-02-10,3.7,1.6
2024-02-11,4.3,1.0
2024-02-12,5.4,1.1
2024-02-13,8.6,1.4
2024-02-14,4.7,2.0
2024-02-15,5.1,1.2
2024-02-16,3.8,1.4
2024-02-17,3.5,1.3
2024-02-18,4.6,1.3
2024-02-19,4.2,1.6
2024-02-20,5.8,1.9
2024-02-21,4.3,1.6
2024-02-22,4.1,1.3
2024-02-23,4.2,2.3
2024-02-24,5.1,1.5
2024-02-25,4.4,1.3
2024-02-26,4.4,1.9
2024-02-27,4.0,1.4
2024-02-28,5.5,2.0
2024-02-29,4.1,1.2
2024-03-01,6.6,1.9
2024-03-02,4.5,1.6
2024-03-03,4.0,1.9
2024-03-04,6.0,2.1
2024-03-05,4.9,1.2
2024-03-06,4.6,1.9
2024-03-07,5.6,1.1
2024-03-08,4.7,1.2
2024-03-09,4.6,1.3
2024-03-10,3.4,1.7
2024-03-11,4.6,1.5
2024-03-12,3.6,1.4
2024-03-13,4.2,1.5
2024-03-14,4.2,1.7
2024-03-15,4.5,1.7
2024-03-16,6.2,1.8
2024-03-17,4.8,2.0
2024-03-18,5.2,1.5
2024-03-19,3.7,1.3
2024-03-20,4.1,1.7
2024-03-21,4.8,1.2
2024-03-22,5.1,1.3
2024-03-23,4.5,1.8
2024-03-24,3.1,1.5
2024-03-25,3.6,1.1
2024-03-26,5.8,1.1
2024-03-27,4.9,1.5
2024-03-28,4.1,1.8
2024-03-29,4.7,1.8
2024-03-30,6.2,1.5
2024-03-31,4.3,2.1
2024-04-01,4.9,1.5
2024-04-02,5.1,1.5
2024-04-03,5.2,0.7
2024-04-04,4.2,1.4
2024-04-05,4.3,1.8
2024-04-06,4.6,2.0
2024-04-07,6.1,1.3
2024-04-08,5.3,1.6
2024-04-09,5.5,1.8
2024-04-10,3.2,1.5
2024-04-11,2.8,0.8
2024-04-12,4.7,1.6
2024-04-13,5.2,1.7
2024-04-14,4.4,1.2
2024-04-15,3.6,1.4
2024-04-16,5.3,1.2
2024-04-17,4.5,0.7
2024-04-18,3.5,1.8
2024-04-19,3.5,1.5
2024-04-20,4.5,2.0
2024-04-21,5.9,1.8
2024-04-22,5.3,1.4
2024-04-23,4.9,1.5
2024-04-24,4.1,1.7
2024-04-25,5.0,7.8
2024-04-26,4.3,7.6
2024-04-27,3.7,7.8
2024-04-28,2.8,7.4
2024-04-29,4.1,7.2
2024-04-30,3.8,7.5
2024-05-01,4.5,7.6
2024-05-02,3.7,7.1
2024-05-03,4.8,7.1
2024-05-04,3.5,7.6
2024-05-05,4.9,1.4
2024-05-06,4.6,1.5
2024-05-07,4.1,1.4
2024-05-08,4.5,2.0
2024-05-09,3.5,1.9
2024-05-10,4.6,1.1
2024-05-11,7.2,1.3
2024-05-12,2.3,1.8
2024-05-13,3.8,1.7
2024-05-14,4.9,1.5
2024-05-15,4.1,1.2
2024-05-16,5.9,1.3
2024-05-17,4.1,1.3
2024-05-18,5.4,1.6
2024-05-19,3.2,2.0
2024-05-20,5.6,1.3
2024-05-21,4.2,1.2
2024-05-22,4.3,1.5
2024-05-23,4.3,1.8
2024-05-24,4.5,1.1
2024-05-25,4.6,1.9
2024-05-26,6.0,1.4
2024-05-27,5.3,1.3
2024-05-28,4.5,1.0
