date,freight_rate,bdi,capesize_index,panamax_index
2024-01-01,22.5,1669.7,2321.6,1580.3
2024-01-02,22.38,1602.7,2160.5,1520.6
2024-01-03,22.59,1676.4,2156.8,1595.4
2024-01-04,23.14,1638.2,2287.3,1563.9
2024-01-05,22.9,1654.2,2178.8,1568.0
2024-01-06,22.71,1733.5,2301.0,1653.3
2024-01-07,23.28,1777.2,2363.4,1735.6
2024-01-08,23.44,1775.2,2479.0,1716.0
2024-01-09,23.1,1693.5,2158.1,1634.9
2024-01-10,23.21,1739.0,2536.0,1638.4
2024-01-11,22.92,1718.6,2383.5,1606.0
2024-01-12,22.67,1654.1,2246.4,1600.0
2024-01-13,22.75,1766.7,2381.7,1704.6
2024-01-14,21.97,1682.7,2288.8,1642.8
2024-01-15,21.38,1594.9,2184.4,1497.0
2024-01-16,21.36,1602.9,2202.6,1515.9
2024-01-17,21.16,1595.5,2187.3,1466.6
2024-01-18,21.53,1533.5,2075.5,1445.0
2024-01-19,21.37,1592.8,2138.5,1543.1
2024-01-20,21.03,1550.2,2083.7,1458.7
2024-01-21,21.91,1602.9,2152.2,1542.0
2024-01-22,21.98,1637.1,2278.2,1549.6
2024-01-23,22.16,1734.2,2376.8,1657.2
2024-01-24,21.73,1655.5,2058.4,1538.3
2024-01-25,21.72,1606.3,2207.9,1528.5
2024-01-26,21.98,1671.6,2268.4,1498.3
2024-01-27,21.71,1684.0,2272.3,1594.2
2024-01-28,22.09,1693.7,2263.2,1560.1
2024-01-29,22.03,1654.7,2301.3,1608.1
2024-01-30,22.11,1632.4,2260.6,1574.1
2024-01-31,22.06,1682.5,2225.0,1612.4
2024-02-01,23.01,1741.2,2375.1,1699.8
2024-02-02,23.07,1766.1,2325.9,1649.3
2024-02-03,22.71,1728.9,2251.2,1694.9
2024-02-04,23.17,1779.6,2364.8,1718.5
2024-02-05,22.74,1684.3,2325.5,1593.0
2024-02-06,22.96,1774.7,2453.0,1720.0
2024-02-07,22.28,1679.1,2297.5,1561.9
2024-02-08,21.97,1730.4,2379.6,1619.2
2024-02-09,22.31,1645.8,2252.8,1545.3
2024-02-10,22.83,1781.6,2366.6,1676.6
2024-02-11,23.05,1736.4,2370.1,1617.9
2024-02-12,23.12,1708.2,2354.0,1659.4
2024-02-13,23.12,1714.6,2359.9,1621.1
2024-02-14,22.65,1686.0,2347.4,1612.2
2024-02-15,22.56,1709.0,2349.7,1606.5
2024-02-16,22.59,1715.4,2336.9,1575.0
2024-02-17,23.23,1719.6,2385.7,1641.7
2024-02-18,23.5,1761.4,2376.2,1615.9
2024-02-19,22.88,1802.0,2379.8,1709.9
2024-02-20,23.2,1809.4,2432.8,1677.8
2024-02-21,23.2,1757.1,2327.4,1728.9
2024-02-22,23.08,1732.3,2298.1,1673.0
2024-02-23,23.5,1767.0,2376.8,1681.8
2024-02-24,24.03,1826.4,2418.1,1773.0
2024-02-25,24.44,1792.0,2400.8,1677.0
2024-02-26,24.09,1796.3,2311.3,1722.8
2024-02-27,24.01,1733.6,2353.2,1652.9
2024-02-28,24.2,1830.6,2471.4,1747.0
2024-02-29,24.62,1872.3,2478.6,1816.9
2024-03-01,24.4,1810.8,2484.1,1742.2
2024-03-02,24.34,1888.3,2605.5,1802.5
2024-03-03,23.92,1744.9,2259.2,1608.0
2024-03-04,23.53,1706.3,2257.7,1592.2
2024-03-05,24.01,1809.7,2396.9,1715.5
2024-03-06,24.64,1889.6,2494.6,1797.9
2024-03-07,24.6,1912.5,2631.6,1783.0
2024-03-08,25.01,1857.1,2495.4,1836.6
2024-03-09,25.1,1925.3,2583.3,1874.6
2024-03-10,24.77,1856.4,2385.9,1781.7
2024-03-11,24.9,1860.9,2550.3,1770.0
2024-03-12,25.49,1947.0,2554.1,1843.3
2024-03-13,25.36,1928.1,2606.5,1803.1
2024-03-14,25.89,1878.9,2553.2,1787.3
2024-03-15,24.68,1909.7,2659.7,1822.0
2024-03-16,25.02,1931.7,2529.2,1797.8
2024-03-17,25.02,1851.5,2318.4,1769.0
2024-03-18,24.87,1881.0,2550.4,1782.3
2024-03-19,24.9,1887.2,2655.7,1735.6
2024-03-20,24.1,1817.6,2528.0,1700.9
2024-03-21,24.12,1787.1,2425.1,1685.3
2024-03-22,24.38,1801.3,2402.3,1767.9
2024-03-23,25.04,1877.1,2582.6,1800.0
2024-03-24,24.81,1907.8,2517.1,1772.3
2024-03-25,24.5,1859.4,2538.7,1781.0
2024-03-26,24.36,1812.3,2477.0,1675.3
2024-03-27,24.81,1891.8,2617.5,1829.7
2024-03-28,24.96,1758.1,2539.1,1656.1
2024-03-29,24.75,1901.8,2591.0,1803.9
2024-03-30,24.98,1803.9,2404.8,1753.5
2024-03-31,25.01,1861.6,2511.6,1729.9
2024-04-01,25.39,1859.7,2404.4,1724.8
2024-04-02,25.05,1826.8,2424.4,1717.9
2024-04-03,24.9,1914.2,2559.6,1849.6
2024-04-04,24.76,1838.0,2449.9,1700.5
2024-04-05,24.2,1829.1,2478.4,1652.7
2024-04-06,24.44,1830.9,2422.3,1725.8
2024-04-07,24.62,1865.7,2586.0,1789.0
2024-04-08,24.68,1853.8,2502.7,1797.1
2024-04-09,24.63,1795.7,2423.7,1692.0
2024-04-10,24.11,1848.3,2475.5,1743.5
2024-04-11,24.07,1785.7,2420.1,1731.1
2024-04-12,24.07,1743.0,2402.6,1599.8
2024-04-13,23.88,1774.1,2343.1,1673.8
2024-04-14,23.98,1858.6,2469.6,1771.4
2024-04-15,24.29,1855.6,2486.9,1776.3
2024-04-16,25.14,1871.7,2446.1,1762.8
2024-04-17,25.18,1874.7,2481.7,1782.0
2024-04-18,25.25,1880.8,2510.5,1712.1
2024-04-19,25.17,1970.9,2713.2,1852.6
2024-04-20,24.37,1842.7,2503.5,1764.2
2024-04-21,24.44,1850.0,2509.2,1728.1
2024-04-22,24.53,1881.1,2590.5,1788.8
2024-04-23,25.57,1927.4,2593.7,1844.4
2024-04-24,25.39,1894.0,2580.3,1789.0
2024-04-25,25.43,1899.6,2558.3,1809.8
2024-04-26,25.33,1897.1,2577.0,1773.4
2024-04-27,24.79,1857.9,2473.3,1758.8
2024-04-28,25.26,1923.3,2450.1,1845.4
2024-04-29,25.49,1913.9,2575.6,1822.9
2024-04-30,29.2,2219.6,3081.8,2091.0
2024-05-01,28.18,2110.1,2904.1,2011.3
2024-05-02,28.23,2120.2,2920.2,2035.6
2024-05-03,27.15,1956.0,2714.7,1796.7
2024-05-04,27.02,2063.0,2790.4,1994.7
2024-05-05,27.55,2080.1,2819.9,1966.0
2024-05-06,26.73,2044.3,2722.8,1954.9
2024-05-07,26.19,1848.5,2476.6,1792.0
2024-05-08,26.0,2033.7,2782.4,1890.8
2024-05-09,25.6,1914.1,2656.3,1797.1
2024-05-10,24.83,1906.5,2565.4,1802.5
2024-05-11,24.82,1820.0,2430.0,1705.5
2024-05-12,24.36,1851.4,2499.4,1810.9
2024-05-13,24.58,1801.1,2467.6,1685.4
2024-05-14,24.2,1790.1,2330.1,1684.0
2024-05-15,24.87,1941.5,2483.3,1850.6
2024-05-16,24.49,1829.5,2436.8,1701.9
2024-05-17,24.36,1835.7,2404.9,1732.0
2024-05-18,24.69,1886.9,2516.8,1802.1
2024-05-19,24.16,1831.7,2463.9,1730.1
2024-05-20,24.28,1827.1,2439.4,1733.0
2024-05-21,24.81,1875.6,2619.3,1766.0
2024-05-22,24.1,1903.4,2589.2,1762.8
2024-05-23,24.2,1812.7,2465.1,1731.7
2024-05-24,24.31,1831.5,2509.9,1792.6
2024-05-25,24.61,1888.0,2480.5,1794.2
2024-05-26,24.06,1848.5,2557.8,1762.8
2024-05-27,23.55,1813.5,2443.6,1743.6
2024-05-28,23.84,1813.9,2489.0,1685.1
2024-05-29,24.0,1754.5,2304.3,1717.9
2024-05-30,24.12,1874.0,2436.6,1786.3
2024-05-31,24.24,1772.4,2441.9,1732.8
2024-06-01,23.94,1807.4,2462.6,1695.1
2024-06-02,24.04,1772.7,2339.0,1738.6
2024-06-03,24.14,1808.1,2388.7,1740.9
2024-06-04,23.82,1799.9,2497.3,1726.5
2024-06-05,24.58,1856.2,2434.6,1770.5
2024-06-06,24.66,1866.3,2618.1,1765.5
2024-06-07,24.06,1868.8,2468.8,1811.3
2024-06-08,24.28,1839.0,2520.9,1751.3
2024-06-09,23.81,1775.9,2377.7,1628.1
2024-06-10,24.11,1846.8,2529.3,1720.9
2024-06-11,24.51,1885.7,2513.0,1785.8
2024-06-12,24.05,1754.7,2359.0,1676.2
2024-06-13,24.37,1851.6,2502.1,1757.3
2024-06-14,24.41,1859.1,2449.7,1802.7
2024-06-15,24.61,1834.0,2520.3,1683.7
2024-06-16,25.2,1945.3,2595.3,1852.3
2024-06-17,24.84,1857.3,2493.6,1709.9
2024-06-18,24.33,1829.8,2410.5,1761.1
2024-06-19,23.83,1780.5,2250.0,1688.7
2024-06-20,23.43,1758.2,2362.1,1682.9
2024-06-21,23.39,1710.1,2453.3,1598.6
2024-06-22,23.51,1705.3,2349.3,1658.4
2024-06-23,23.58,1832.0,2472.1,1771.7
2024-06-24,23.85,1755.0,2353.4,1684.7
2024-06-25,23.75,1741.8,2352.8,1650.9
2024-06-26,24.24,1731.9,2370.9,1662.7
2024-06-27,23.96,1771.6,2320.8,1661.8
2024-06-28,24.91,1815.6,2517.9,1750.5
2024-06-29,24.88,1931.6,2650.5,1884.5
2024-06-30,24.25,1859.2,2553.0,1798.3
