date,port_congestion_score,avg_waiting_hours
2024-01-01,38.8,23.6
2024-01-02,47.3,31.1
2024-01-03,40.6,24.8
2024-01-04,41.1,27.1
2024-01-05,38.3,26.3
2024-01-06,37.2,26.1
2024-01-07,36.3,21.1
2024-01-08,43.1,32.4
2024-01-09,36.7,25.4
2024-01-10,42.2,27.4
2024-01-11,37.9,26.8
2024-01-12,38.0,29.4
2024-01-13,38.4,22.1
2024-01-14,37.1,23.7
2024-01-15,34.9,17.9
2024-01-16,36.3,24.0
2024-01-17,40.4,27.0
2024-01-18,40.3,26.1
2024-01-19,35.5,21.8
2024-01-20,37.1,20.0
2024-01-21,34.5,23.2
2024-01-22,34.5,25.3
2024-01-23,33.0,20.3
2024-01-24,46.4,31.0
2024-01-25,34.0,19.0
2024-01-26,34.0,23.0
2024-01-27,34.3,21.5
2024-01-28,33.0,19.9
2024-01-29,38.2,23.3
2024-01-30,32.4,20.3
2024-01-31,32.7,22.0
2024-02-01,37.9,22.0
2024-02-02,34.0,21.3
2024-02-03,38.8,25.2
2024-02-04,36.2,21.3
2024-02-05,33.0,25.0
2024-02-06,37.4,22.6
2024-02-07,31.8,19.3
2024-02-08,35.6,21.2
2024-02-09,34.3,25.9
2024-02-10,32.6,22.3
2024-02-11,36.2,21.7
2024-02-12,42.9,30.1
2024-02-13,71.4,46.8
2024-02-14,36.1,24.0
2024-02-15,33.5,21.1
2024-02-16,31.9,19.2
2024-02-17,32.1,21.5
2024-02-18,34.2,21.1
2024-02-19,33.0,25.1
2024-02-20,44.9,26.6
2024-02-21,32.9,24.4
2024-02-22,32.9,21.2
2024-02-23,33.0,22.0
2024-02-24,40.9,28.3
2024-02-25,36.3,22.4
2024-02-26,35.7,25.0
2024-02-27,32.4,15.7
2024-02-28,40.2,24.7
2024-02-29,30.2,17.8
2024-03-01,42.3,25.0
2024-03-02,34.3,21.9
2024-03-03,33.1,22.3
2024-03-04,34.2,23.6
2024-03-05,36.7,24.3
2024-03-06,30.2,18.3
2024-03-07,42.4,28.3
2024-03-08,33.7,22.2
2024-03-09,32.7,23.1
2024-03-10,31.1,21.8
2024-03-11,33.8,22.0
2024-03-12,34.5,20.6
2024-03-13,33.5,20.5
2024-03-14,37.3,23.1
2024-03-15,33.8,21.3
2024-03-16,50.1,33.1
2024-03-17,36.1,24.9
2024-03-18,40.6,26.3
2024-03-19,31.5,20.5
2024-03-20,33.9,22.4
2024-03-21,33.5,20.7
2024-03-22,36.1,21.6
2024-03-23,43.0,24.5
2024-03-24,31.8,19.3
2024-03-25,31.9,21.6
2024-03-26,42.9,26.5
2024-03-27,33.1,21.0
2024-03-28,38.4,25.9
2024-03-29,36.6,24.8
2024-03-30,42.7,25.6
2024-03-31,32.9,23.4
2024-04-01,33.1,23.8
2024-04-02,37.3,22.0
2024-04-03,50.1,30.9
2024-04-04,35.9,25.7
2024-04-05,35.2,22.6
2024-04-06,38.6,20.6
2024-04-07,49.1,29.1
2024-04-08,44.2,28.2
2024-04-09,65.9,40.5
2024-04-10,33.8,21.1
2024-04-11,34.5,22.5
2024-04-12,39.6,28.7
2024-04-13,44.5,28.3
2024-04-14,36.3,25.8
2024-04-15,36.2,26.4
2024-04-16,44.0,31.5
2024-04-17,35.2,23.5
2024-04-18,37.8,20.7
2024-04-19,39.5,26.6
2024-04-20,40.4,28.4
2024-04-21,43.5,28.1
2024-04-22,38.5,28.5
2024-04-23,41.8,28.9
2024-04-24,41.6,28.2
