date,route_key,origin_port_id,destination_port_id,freight_rate,bdi_context,bunker_context,port_congestion_score,avg_waiting_hours,vessel_availability_count,weather_risk_score,event_risk_score,data_mode
2024-01-01,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.33,1644.3,633.9,51.2,28.1,31,3.5,2.1,SYNTHETIC
2024-01-02,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.02,1624.3,628.4,52.4,28.8,33,3.3,2.5,SYNTHETIC
2024-01-03,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,15.16,1656.7,621.8,45.3,24.9,33,2.3,2.2,SYNTHETIC
2024-01-04,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.98,1648.5,641.0,47.2,26.0,32,3.2,2.0,SYNTHETIC
2024-01-05,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,14.94,1661.2,630.1,48.4,26.6,36,2.5,2.0,SYNTHETIC
2024-01-06,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.0,1696.3,631.4,55.9,30.7,36,3.2,3.3,SYNTHETIC
2024-01-07,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.73,1718.4,635.8,49.0,27.0,35,3.3,3.3,SYNTHETIC
2024-01-08,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.65,1724.7,647.8,52.1,28.7,30,2.6,2.4,SYNTHETIC
2024-01-09,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.53,1700.6,629.7,43.4,23.9,38,2.9,1.5,SYNTHETIC
2024-01-10,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.3,1723.3,657.7,53.2,29.3,26,3.4,1.7,SYNTHETIC
2024-01-11,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.18,1720.6,646.7,45.7,25.1,30,3.3,1.6,SYNTHETIC
2024-01-12,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.04,1699.8,641.8,53.4,29.4,32,3.2,1.5,SYNTHETIC
2024-01-13,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.24,1744.6,641.4,49.4,27.2,31,3.2,2.0,SYNTHETIC
2024-01-14,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.5,1714.1,639.1,63.7,35.1,35,3.4,3.1,SYNTHETIC
2024-01-15,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.39,1678.7,636.7,49.6,27.3,35,3.1,1.6,SYNTHETIC
2024-01-16,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.65,1677.3,636.4,39.6,21.8,33,3.1,1.9,SYNTHETIC
2024-01-17,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.42,1669.4,633.9,53.1,29.2,35,2.7,2.7,SYNTHETIC
2024-01-18,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.95,1640.8,632.6,57.4,31.5,32,3.2,2.1,SYNTHETIC
2024-01-19,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.27,1658.1,629.4,44.3,24.4,32,3.5,1.9,SYNTHETIC
2024-01-20,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.53,1635.8,626.6,56.3,31.0,34,3.7,1.8,SYNTHETIC
2024-01-21,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,17.03,1649.7,629.9,53.2,29.3,33,3.8,2.1,SYNTHETIC
2024-01-22,AU_HPT -> IN_PDP,AU_HPT,IN_PDP,16.6,1658.8,636.2,52.9,29.1,32,4.4,1.6,SYNTHETIC
